Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Scialò A.; Henriques J.C.C.; Malara G.; Falcão A.F.O.; Gato L.M.C.; Arena F.,"Scialò, A. (57204392965); Henriques, J.C.C. (36173947400); Malara, G. (26633961400); Falcão, A.F.O. (23485073200); Gato, L.M.C. (7004360885); Arena, F. (7102803521)",57204392965; 36173947400; 26633961400; 23485073200; 7004360885; 7102803521,Power take-off selection for a fixed U-OWC wave power plant in the Mediterranean Sea: The case of Roccella Jonica,2021,Energy,215,,119085,,,,16,10.1016/j.energy.2020.119085,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095771743&doi=10.1016%2fj.energy.2020.119085&partnerID=40&md5=09c9f2d0ea367e224a579c53083714ac,Article,Final,,Scopus,2-s2.0-85095771743
Gaebele D.T.; Magana M.E.; Brekken T.K.A.; Henriques J.C.C.; Carrelhas A.A.D.; Gato L.M.C.,"Gaebele, Daniel T. (57211621971); Magana, Mario E. (7006184162); Brekken, Ted K. A. (16067825500); Henriques, Joao C. C. (36173947400); Carrelhas, Ana A. D. (57208272722); Gato, Luis M. C. (7004360885)",57211621971; 7006184162; 16067825500; 36173947400; 57208272722; 7004360885,Second Order Sliding Mode Control of Oscillating Water Column Wave Energy Converters for Power Improvement,2021,IEEE Transactions on Sustainable Energy,12,2,9247304,1151,1160,9,22,10.1109/TSTE.2020.3035501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096118376&doi=10.1109%2fTSTE.2020.3035501&partnerID=40&md5=dbd8dc5f13c04f0a973e5c1faebe98aa,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85096118376
Gato L.M.C.; Maduro A.R.; Carrelhas A.A.D.; Henriques J.C.C.; Ferreira D.N.,"Gato, L.M.C. (7004360885); Maduro, A.R. (57207642279); Carrelhas, A.A.D. (57208272722); Henriques, J.C.C. (36173947400); Ferreira, D.N. (56659095800)",7004360885; 57207642279; 57208272722; 36173947400; 56659095800,Performance improvement of the biradial self-rectifying impulse air-turbine for wave energy conversion by multi-row guide vanes: Design and experimental results,2021,Energy,216,,119110,,,,12,10.1016/j.energy.2020.119110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096961127&doi=10.1016%2fj.energy.2020.119110&partnerID=40&md5=c011bf18f17df7f3dd07e10ff416a932,Article,Final,,Scopus,2-s2.0-85096961127
Ribeiro P.J.C.; Henriques J.C.C.; Campuzano F.J.; Gato L.M.C.; Falcão A.F.O.,"Ribeiro, P.J.C. (57220615543); Henriques, J.C.C. (36173947400); Campuzano, F.J. (35271277300); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)",57220615543; 36173947400; 35271277300; 7004360885; 23485073200,A new directional wave spectra characterization for offshore renewable energy applications,2020,Energy,213,,118828,,,,4,10.1016/j.energy.2020.118828,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091657563&doi=10.1016%2fj.energy.2020.118828&partnerID=40&md5=165647d688ecaa5b0d59227e637a44cf,Article,Final,,Scopus,2-s2.0-85091657563
Gomes R.P.F.; Gato L.M.C.; Henriques J.C.C.; Portillo J.C.C.; Howey B.D.; Collins K.M.; Hann M.R.; Greaves D.M.,"Gomes, Rui P.F. (26030969000); Gato, Luís M.C. (7004360885); Henriques, João C.C. (36173947400); Portillo, Juan C.C. (56970941300); Howey, Ben D. (57197705559); Collins, Keri M. (52063145800); Hann, Martyn R. (55851687200); Greaves, Deborah M. (7102627638)",26030969000; 7004360885; 36173947400; 56970941300; 57197705559; 52063145800; 55851687200; 7102627638,Compact floating wave energy converters arrays: Mooring loads and survivability through scale physical modelling,2020,Applied Energy,280,,115982,,,,26,10.1016/j.apenergy.2020.115982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092482461&doi=10.1016%2fj.apenergy.2020.115982&partnerID=40&md5=88d8bece2f38d527be2bfecc2f578284,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85092482461
Oikonomou C.L.G.; Gomes R.P.F.; Gato L.M.C.; Falcão A.F.O.,"Oikonomou, C.L.G. (57212473842); Gomes, R.P.F. (26030969000); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)",57212473842; 26030969000; 7004360885; 23485073200,On the dynamics of an array of spar-buoy oscillating water column devices with inter-body mooring connections,2020,Renewable Energy,148,,,309,325,16,23,10.1016/j.renene.2019.11.097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076767649&doi=10.1016%2fj.renene.2019.11.097&partnerID=40&md5=b73e760728f01d35fcaacea29d6eaf8f,Article,Final,,Scopus,2-s2.0-85076767649
Falcão A.F.O.; Sarmento A.J.N.A.; Gato L.M.C.; Brito-Melo A.,"Falcão, António F.O. (23485073200); Sarmento, António J.N.A. (7007082950); Gato, Luís M.C. (7004360885); Brito-Melo, Ana (6602760311)",23485073200; 7007082950; 7004360885; 6602760311,The Pico OWC wave power plant: Its lifetime from conception to closure 1986–2018,2020,Applied Ocean Research,98,,102104,,,,63,10.1016/j.apor.2020.102104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083032950&doi=10.1016%2fj.apor.2020.102104&partnerID=40&md5=0a8c41ce0c12ccf3affc4ea2aa34408e,Article,Final,,Scopus,2-s2.0-85083032950
Ferreira D.N.; Gato L.M.C.; Eça L.; Henriques J.C.C.,"Ferreira, D.N. (56659095800); Gato, L.M.C. (7004360885); Eça, L. (6506220240); Henriques, J.C.C. (36173947400)",56659095800; 7004360885; 6506220240; 36173947400,Aerodynamic analysis of a biradial turbine with movable guide-vanes: Incidence and slip effects on efficiency,2020,Energy,200,,117502,,,,8,10.1016/j.energy.2020.117502,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083797373&doi=10.1016%2fj.energy.2020.117502&partnerID=40&md5=81ff436a876a89db3d89d213ca057d42,Article,Final,,Scopus,2-s2.0-85083797373
Gomes R.P.F.; Henriques J.C.C.; Gato L.M.C.; Falcão A.F.O.,"Gomes, R.P.F. (26030969000); Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)",26030969000; 36173947400; 7004360885; 23485073200,Time-domain simulation of a slack-moored floating oscillating water column and validation with physical model tests,2020,Renewable Energy,149,,,165,180,15,49,10.1016/j.renene.2019.11.159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076672424&doi=10.1016%2fj.renene.2019.11.159&partnerID=40&md5=79301117db31c174a828706818899f96,Article,Final,,Scopus,2-s2.0-85076672424
Carrelhas A.A.D.; Gato L.M.C.; Henriques J.C.C.; Falcão A.F.O.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400); Falcão, A.F.O. (23485073200)",57208272722; 7004360885; 36173947400; 23485073200,Experimental study of a self-rectifying biradial air turbine with fixed guide-vanes arranged into two concentric annular rows,2020,Energy,198,,117211,,,,12,10.1016/j.energy.2020.117211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082190973&doi=10.1016%2fj.energy.2020.117211&partnerID=40&md5=98f11c77e5091419410af88824ab0bb5,Article,Final,,Scopus,2-s2.0-85082190973
Portillo J.C.C.; Collins K.M.; Gomes R.P.F.; Henriques J.C.C.; Gato L.M.C.; Howey B.D.; Hann M.R.; Greaves D.M.; Falcão A.F.O.,"Portillo, J.C.C. (56970941300); Collins, K.M. (52063145800); Gomes, R.P.F. (26030969000); Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885); Howey, B.D. (57197705559); Hann, M.R. (55851687200); Greaves, D.M. (7102627638); Falcão, A.F.O. (23485073200)",56970941300; 52063145800; 26030969000; 36173947400; 7004360885; 57197705559; 55851687200; 7102627638; 23485073200,Wave energy converter physical model design and testing: The case of floating oscillating-water-columns,2020,Applied Energy,278,,115638,,,,32,10.1016/j.apenergy.2020.115638,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089229929&doi=10.1016%2fj.apenergy.2020.115638&partnerID=40&md5=6f138247cc3202718ab5f44e9acd0495,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85089229929
Giorgi G.; Gomes R.P.F.; Henriques J.C.C.; Gato L.M.C.; Bracco G.; Mattiazzo G.,"Giorgi, Giuseppe (57194196298); Gomes, Rui P.F. (26030969000); Henriques, João C.C. (36173947400); Gato, Luís M.C. (7004360885); Bracco, Giovanni (57194222652); Mattiazzo, Giuliana (6602883396)",57194196298; 26030969000; 36173947400; 7004360885; 57194222652; 6602883396,Detecting parametric resonance in a floating oscillating water column device for wave energy conversion: Numerical simulations and validation with physical model tests,2020,Applied Energy,276,,115421,,,,41,10.1016/j.apenergy.2020.115421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087715378&doi=10.1016%2fj.apenergy.2020.115421&partnerID=40&md5=a4d9c373c941797723c687d9791f3a92,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85087715378
Paduano B.; Giorgi G.; Gomes R.P.F.; Pasta E.; Henriques J.C.C.; Gato L.M.C.; Mattiazzo G.,"Paduano, Bruno (57209364462); Giorgi, Giuseppe (57194196298); Gomes, Rui P. F. (26030969000); Pasta, Edoardo (57218541529); Henriques, João C. C. (36173947400); Gato, Luís M. C. (7004360885); Mattiazzo, Giuliana (6602883396)",57209364462; 57194196298; 26030969000; 57218541529; 36173947400; 7004360885; 6602883396,Experimental validation and comparison of numerical models for the mooring system of a floating wave energy converter,2020,Journal of Marine Science and Engineering,8,8,565,,,,42,10.3390/JMSE8080565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089544733&doi=10.3390%2fJMSE8080565&partnerID=40&md5=76db22c1a233e1f9084ca251c15f8364,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85089544733
Lopes B.S.; Gato L.M.C.; Falcão A.F.O.; Henriques J.C.C.,"Lopes, Bárbara S. (57205304774); Gato, Luís M.C. (7004360885); Falcão, António F.O. (23485073200); Henriques, João C.C. (36173947400)",57205304774; 7004360885; 23485073200; 36173947400,Test results of a novel twin-rotor radial inflow self-rectifying air turbine for OWC wave energy converters,2019,Energy,170,,,869,879,10,16,10.1016/j.energy.2018.12.078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059458126&doi=10.1016%2fj.energy.2018.12.078&partnerID=40&md5=cc02249df165c3d4305cbd45ea8d18c9,Article,Final,,Scopus,2-s2.0-85059458126
Henriques J.C.C.; Portillo J.C.C.; Sheng W.; Gato L.M.C.; Falcão A.F.O.,"Henriques, J.C.C. (36173947400); Portillo, J.C.C. (56970941300); Sheng, W. (35220535800); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)",36173947400; 56970941300; 35220535800; 7004360885; 23485073200,Dynamics and control of air turbines in oscillating-water-column wave energy converters: Analyses and case study,2019,Renewable and Sustainable Energy Reviews,112,,,571,589,18,60,10.1016/j.rser.2019.05.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067182426&doi=10.1016%2fj.rser.2019.05.010&partnerID=40&md5=cbf8b3b88f61da5a278dc6b1df6baa52,Article,Final,,Scopus,2-s2.0-85067182426
Carrelhas A.A.D.; Gato L.M.C.; Henriques J.C.C.; Falcão A.F.O.; Varandas J.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400); Falcão, A.F.O. (23485073200); Varandas, J. (57208273789)",57208272722; 7004360885; 36173947400; 23485073200; 57208273789,Test results of a 30 kW self-rectifying biradial air turbine-generator prototype,2019,Renewable and Sustainable Energy Reviews,109,,,187,198,11,40,10.1016/j.rser.2019.04.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064323702&doi=10.1016%2fj.rser.2019.04.008&partnerID=40&md5=50f2785c7616fb3b0a426fee8512b4e3,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85064323702
Correia da Fonseca F.X.; Henriques J.C.C.; Gato L.M.C.; Falcão A.F.O.,"Correia da Fonseca, F.X. (57190221130); Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)",57190221130; 36173947400; 7004360885; 23485073200,Oscillating flow rig for air turbine testing,2019,Renewable Energy,142,,,373,382,9,12,10.1016/j.renene.2019.04.124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065069134&doi=10.1016%2fj.renene.2019.04.124&partnerID=40&md5=71c9b09ff56f7aa3c03662fc6141f561,Article,Final,,Scopus,2-s2.0-85065069134
Zabala I.; Henriques J.C.C.; Blanco J.M.; Gomez A.; Gato L.M.C.; Bidaguren I.; Falcão A.F.O.; Amezaga A.; Gomes R.P.F.,"Zabala, I. (57202846230); Henriques, J.C.C. (36173947400); Blanco, J.M. (35609652200); Gomez, A. (57209130930); Gato, L.M.C. (7004360885); Bidaguren, I. (57208908288); Falcão, A.F.O. (23485073200); Amezaga, A. (58246051300); Gomes, R.P.F. (26030969000)",57202846230; 36173947400; 35609652200; 57209130930; 7004360885; 57208908288; 23485073200; 58246051300; 26030969000,Wave-induced real-fluid effects in marine energy converters: Review and application to OWC devices,2019,Renewable and Sustainable Energy Reviews,111,,,535,549,14,30,10.1016/j.rser.2019.05.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066064377&doi=10.1016%2fj.rser.2019.05.025&partnerID=40&md5=62c4859a33e2c52060ec592bd9553f92,Article,Final,,Scopus,2-s2.0-85066064377
Portillo J.C.C.; Reis P.F.; Henriques J.C.C.; Gato L.M.C.; Falcão A.F.O.,"Portillo, J.C.C. (56970941300); Reis, P.F. (57209100403); Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)",56970941300; 57209100403; 36173947400; 7004360885; 23485073200,"Backward bent-duct buoy or frontward bent-duct buoy? Review, assessment and optimisation",2019,Renewable and Sustainable Energy Reviews,112,,,353,368,15,20,10.1016/j.rser.2019.05.026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066475113&doi=10.1016%2fj.rser.2019.05.026&partnerID=40&md5=84cf21ae9cd3bd2911926d21e8c0f9eb,Article,Final,,Scopus,2-s2.0-85066475113
Falcão A.F.O.; Henriques J.C.C.; Gato L.M.C.,"Falcão, António F.O. (23485073200); Henriques, João C.C. (36173947400); Gato, Luís M.C. (7004360885)",23485073200; 36173947400; 7004360885,Self-rectifying air turbines for wave energy conversion: A comparative analysis,2018,Renewable and Sustainable Energy Reviews,91,,,1231,1241,10,85,10.1016/j.rser.2018.04.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047255219&doi=10.1016%2fj.rser.2018.04.019&partnerID=40&md5=0b12806c93eb38f866d2942b30a3b586,Review,Final,,Scopus,2-s2.0-85047255219
Rinaldi G.; Portillo J.C.C.; Khalid F.; Henriques J.C.C.; Thies P.R.; Gato L.M.C.; Johanning L.,"Rinaldi, G. (57193823350); Portillo, J.C.C. (56970941300); Khalid, F. (57211430109); Henriques, J.C.C. (36173947400); Thies, P.R. (55134959500); Gato, L.M.C. (7004360885); Johanning, L. (13605483700)",57193823350; 56970941300; 57211430109; 36173947400; 55134959500; 7004360885; 13605483700,"Multivariate analysis of the reliability, availability, and maintainability characterizations of a Spar–Buoy wave energy converter farm",2018,Journal of Ocean Engineering and Marine Energy,4,3,,199,215,16,19,10.1007/s40722-018-0116-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049153249&doi=10.1007%2fs40722-018-0116-z&partnerID=40&md5=0923a28820e727f930832de7af6df4f3,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85049153249
